sex,age,typtrai,wstatus,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y15-29,NO_FED_NFE,NEMP,PC,IE	: 	: 	14.4 	12.6 	12.8 b	11.8 	11.3 b	11.1 b	15.5 	20.2 	21.7 	22.4 	21.6 	18.8 	18.0 	16.7 	14.7 	12.9 b
T,Y15-29,NO_FED_NFE,NEMP,PC,IS	4.4 	3.6 	5.4 	5.6 bu	6.0 	5.1 	5.0 	4.6 	5.3 	9.7 b	10.1 	7.6 	7.0 	6.4 	6.9 	5.3 	4.6 	4.1 
T,Y15-29,NO_FED_NFE,NEMP,PC,IT	21.9 	20.8 	19.8 	19.5 	19.6 b	20.0 	19.2 b	18.8 	19.3 	20.5 	22.0 	22.5 	23.8 	26.0 	26.2 	25.7 	24.3 	24.1 
T,Y15-29,NO_FED_NFE,NEMP,PC,LT	18.9 	19.1 	15.2 b	13.6 	12.9 b	10.7 	10.3 b	10.1 	11.9 	15.0 	17.0 	14.7 	13.9 	13.7 	12.9 	11.8 	10.7 	10.2 
T,Y15-29,NO_FED_NFE,NEMP,PC,LU	8.1 	8.2 	7.5 	6.9 b	8.1 	6.8 	8.0 b	7.3 b	9.2 	7.5 b	6.1 	6.6 	7.6 	7.2 	6.5 	7.6 b	6.8 	6.6 
T,Y15-29,NO_FED_NFE,NEMP,PC,LV	: 	: 	17.6 	16.1 b	15.6 	14.1 	13.7 b	13.9 	13.6 	20.8 	20.7 	19.1 	17.2 	15.6 	15.2 	13.8 	13.3 	12.3 
T,Y15-29,NO_FED_NFE,NEMP,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.6 	24.4 	23.6 	22.5 	23.4 	22.3 	21.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,MK	: 	: 	: 	: 	: 	: 	44.8 	38.0 b	35.9 	32.8 	31.8 	31.6 	32.1 	31.3 	31.9 	32.5 	31.3 	31.1 
T,Y15-29,NO_FED_NFE,NEMP,PC,MT	26.9 	19.4 	18.5 	20.5 	15.4 b	15.0 b	13.6 b	13.7 	11.4 	12.6 	12.2 	12.1 	11.7 	11.3 	11.7 	11.4 	8.8 	8.0 b
T,Y15-29,NO_FED_NFE,NEMP,PC,NL	6.0 	5.7 	6.1 	6.7 b	6.6 	6.6 	5.5 b	4.9 	4.6 	5.3 	5.7 b	5.9 	6.5 	7.5 b	7.6 	6.7 	6.3 	5.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,NO	24.2 	23.6 	23.5 	10.6 b	9.7 	9.1 	6.0 b	5.6 	5.2 	6.2 	6.7 	6.6 	6.4 	7.0 	7.1 	7.0 	7.1 	6.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,PL	: 	20.7 b	21.7 	20.8 b	19.6 b	18.4 	16.6 	14.4 	12.7 b	14.0 	14.8 b	15.2 	15.7 	16.2 b	15.5 	14.6 	13.8 	12.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,PT	10.1 b	10.2 	11.5 b	12.4 	12.0 b	12.3 	12.0 b	12.7 	11.9 	12.5 	13.6 	13.9 b	15.6 	16.4 	14.6 	13.2 	12.8 	10.6 
